occupation1,,,occupation2,,,occupation3,,
,,,LABORER,LABORER,OWN,LAUNDRYMAN ,LABORER,OWN
SEAMAN,BONDED TRANSIT/ ENTRY,OWN,BOOKKEEPER,LABORER,OWN,WAITER,LABORER,OWN
LABORER,LABORER,OWN,RESTAURATEUR,MERCHANT,OWN,GROCER ,MERCHANT,OWN
SON OF A MERCHANT,MERCHANT,AFFILIATED,LAUNDRYMAN,LABORER,OWN,MERCHANT ,MERCHANT,OWN
LAUNDRYMAN,LABORER,OWN,MERCHANT,MERCHANT,OWN,STUDENT ,STUDENT,OWN
CASHIER,LABORER,OWN,SON OF NATIVE,US CITIZEN,AFFILIATED,BOOKKEEPER,LABORER,
STUDENT,STUDENT,OWN,WAITER,LABORER,OWN,CASHIER ,LABORER,OWN
SON OF A NATIVE,US CITIZEN,AFFILIATED,CLERK,LABORER,OWN,ASSISTANT BOOKKEEPER ,LABORER,OWN
MERCHANT,MERCHANT,OWN,STUDENT,STUDENT,OWN,SALESMAN ,MERCHANT,OWN
RESTAURANT OWNER,MERCHANT,OWN,RESTAURANT MANAGER,MERCHANT,OWN,ASSISTANT BUYER ,MERCHANT,OWN
PROFESSOR OF ART,TEACHER,OWN,SON OF A MERCHANT,MERCHANT,AFFILIATED,RESTAURANT MANAGER,MERCHANT,
DAUGHTER OF A NATIVE,US CITIZEN,AFFILIATED,COOK,LABORER,OWN,GENERAL HELPER ,UNKNOWN,OWN
CLERK,LABORER,OWN,IN TRANSIT,TRAVELER,OWN,FOOD CHECKER & BOOKKEEPER ,LABORER,OWN
WAITER,LABORER,OWN,SALESMAN,MERCHANT,OWN,CASHIER & SALESMAN ,MERCHANT,OWN
GROCERY,MERCHANT,OWN,DOMESTIC WORKER,UNKNOWN,OWN,COOK ,LABORER,OWN
FARMER,LABORER,OWN,CASHIER,LABORER,OWN,ASSISTANT SECRETARY ,UNKNOWN,OWN
WIFE OF A MERCHANT,MERCHANT,AFFILIATED,SALESMAN & COLLECTOR,MERCHANT,OWN,DISHWASHER ,LABORER,OWN
SON OF A CITIZEN,US CITIZEN,AFFILIATED,BUYER,MERCHANT,OWN,SAILOR ,BONDED TRANSIT/ ENTRY,OWN
YOUTH,UNKNOWN,AFFILIATED,BUYER & STOCK KEEPER,MERCHANT,OWN,ASSISTANT MANAGER ,MERCHANT,OWN
DOMESTIC WORKER,UNKNOWN,OWN,ASSISTANT MANAGER,MERCHANT,OWN,RESTAURANT WORKER ,LABORER,OWN
TRAVELER,TRAVELER,OWN,BARBER,UNKNOWN,OWN,LAUNDRY PROPRIETOR ,LABORER,OWN
SALESMAN,MERCHANT,OWN,JOURNALIST,GOV,OWN,INTERPRETER ,UNKNOWN,OWN
DRUGGIST,MERCHANT,OWN,CHINESE GROCER,MERCHANT,OWN,LAUNDRY PROPRIETER ,LABORER,OWN
CONFIDENTIAL AGENT,UNKNOWN,OWN,SECRETARY,UNKNOWN,OWN,MANAGER ,MERCHANT,OWN
ACTOR,BONDED TRANSIT/ ENTRY,OWN,MINOR,UNKNOWN,OWN,BOOKKEPPER ,LABORER,OWN
